MQ2,MQ4,MQ5,MQ7,MQ135
137,270,442,624,344
138,268,439,624,342
138,269,440,626,345
139,268,439,624,342
137,268,439,623,344
136,267,440,623,345
138,268,440,624,346
138,267,439,623,344
137,268,438,623,345
137,267,440,623,346
137,267,442,625,345
136,267,439,622,344
138,267,440,622,343
137,267,440,624,342
137,267,440,623,342
138,268,440,622,343
137,267,438,622,344
137,268,437,622,342
136,267,437,621,344
136,266,439,621,343
135,267,439,622,343
137,266,440,621,343
136,267,440,621,345
135,267,440,623,342
135,268,439,621,344
136,267,439,622,344
136,266,441,623,342
136,266,439,621,343
136,266,440,621,343
135,266,439,621,342
135,270,439,624,343
138,269,440,621,342
137,267,439,623,343
136,268,441,623,344
136,268,440,626,345
136,266,437,621,341
135,268,437,621,343
135,266,438,621,341
136,267,439,621,341
137,269,437,621,341
135,270,440,625,344
135,268,438,623,342
136,267,439,623,342
136,267,440,622,343
136,269,439,624,343
135,268,439,621,343
134,267,439,621,343
136,269,438,622,344
136,267,438,621,344
136,266,438,623,344
136,267,439,623,344
137,265,440,622,343
136,267,439,624,344
137,268,442,627,344
136,267,440,622,344
135,268,439,625,345
134,269,440,625,345
133,266,438,623,342
133,267,439,621,342
135,267,440,621,342
135,267,438,624,342
135,269,440,624,341
135,267,437,622,341
135,267,436,620,341
137,268,437,622,342
135,267,439,623,341
136,267,438,623,341
137,268,437,623,341
135,268,437,623,341
137,268,440,624,342
137,270,441,626,342
136,265,438,623,341
137,268,438,621,341
138,266,439,624,342
137,267,439,621,341
137,268,439,623,344
137,269,437,624,343
136,270,437,623,341
138,268,438,626,341
137,268,439,626,341
137,269,439,626,343
136,269,437,625,343
137,267,439,624,341
136,270,440,623,340
136,267,439,625,340
136,267,439,622,340
136,267,437,623,342
137,270,439,625,340
134,270,436,623,341
134,268,438,623,339
135,269,438,624,340
137,267,438,622,339
136,267,439,623,340
137,268,440,624,341
136,267,437,623,339
136,267,436,621,338
136,267,438,623,339
132,267,437,622,339
134,268,438,621,340
137,269,438,626,343
136,268,439,626,343
136,269,439,626,344
134,267,437,622,343
134,267,437,623,341
135,269,436,622,341
135,268,437,623,341
136,268,439,624,344
134,269,439,622,344
134,269,440,623,343
135,271,439,625,342
135,269,438,625,345
136,267,438,624,344
134,267,437,624,344
135,269,437,624,343
137,268,438,624,343
136,267,438,623,343
136,267,439,622,341
135,268,439,625,342
136,267,438,623,344
134,269,438,626,344
135,267,437,621,344
134,268,437,621,342
137,269,438,623,341
133,267,438,621,340
135,269,436,623,341
137,267,438,622,340
135,269,438,624,340
136,266,437,621,341
135,269,439,626,342
136,269,438,623,344
135,269,439,623,342
136,268,440,623,342
136,267,438,625,343
136,269,440,624,345
135,266,435,622,342
135,266,437,619,339
135,268,436,621,340
137,268,439,624,347
135,268,437,625,342
136,268,436,623,342
138,268,437,622,342
135,269,437,622,344
135,269,438,626,346
137,269,440,625,346
137,269,438,626,346
138,268,438,624,344
134,268,440,626,344
131,268,440,624,345
131,268,440,624,347
135,268,437,626,345
135,267,437,622,345
135,268,438,623,346
135,267,436,621,344
136,269,438,622,344
136,268,437,623,343
136,267,436,623,343
135,268,437,623,344
134,268,437,623,343
137,267,439,623,343
135,268,438,622,345
135,269,437,625,345
137,268,437,625,344
138,268,438,626,345
138,268,438,625,345
138,269,439,624,344
137,268,438,625,345
135,267,438,622,343
137,268,437,624,344
135,268,439,623,345
135,269,437,625,345
136,267,437,625,344
137,270,439,623,344
136,268,439,623,344
137,268,440,623,346
137,268,439,624,344
135,268,438,624,343
137,269,437,624,344
135,269,438,625,343
134,266,438,624,342
137,266,438,624,343
137,267,439,624,343
137,268,438,625,343
137,269,439,626,340
138,268,440,624,342
137,267,439,624,339
137,268,438,623,340
137,269,438,624,344
138,270,438,626,345
138,267,438,625,343
138,270,438,625,341
136,266,436,623,338
138,267,439,622,341
137,266,438,623,344
137,269,438,624,342
137,267,440,624,341
138,268,437,625,342
136,268,439,625,341
137,268,435,622,342
136,267,437,624,342
136,270,438,623,343
136,269,437,624,341
136,267,436,623,342
138,269,439,624,342
138,269,438,625,341
139,269,439,621,341
137,270,436,623,341
138,271,438,623,342
139,269,437,625,341
138,268,437,623,342
138,268,437,623,341
136,269,438,624,341
136,268,438,625,343
137,268,435,621,343
135,270,437,625,344
135,269,437,624,343
135,269,439,623,344
137,268,439,623,345
137,269,437,625,345
135,269,438,624,345
137,268,438,624,345
139,268,438,624,345
138,268,438,623,346
138,269,437,624,343
139,268,437,625,344
138,269,439,624,344
139,269,438,622,344
134,268,438,625,346
138,269,438,624,344
135,268,438,623,346
137,270,438,624,344
136,268,437,624,343
138,268,437,626,343
135,269,437,625,345
136,269,439,623,345
137,268,438,624,345
136,268,439,624,344
136,268,439,626,344
136,268,439,624,342
138,269,439,625,344
137,268,439,626,344
136,268,437,625,346
138,268,440,625,346
138,269,438,626,348
137,269,440,624,344
135,269,438,627,348
138,270,438,626,348
136,269,439,624,346
138,268,440,624,348
137,269,440,626,349
138,268,439,626,348
137,270,440,625,348
137,270,439,625,348
138,270,439,626,348
137,268,439,626,348
137,269,439,627,347
137,269,438,626,347
137,270,438,625,348
